epoch,acc,loss,val_acc,val_loss
0,0.0809669029807,4.25408925481,0.200950495064,3.37355358088
1,0.307536932158,2.97453787518,0.407128712888,2.3662462155
2,0.453945370788,2.3080302746,0.533782178223,1.79354902358
3,0.521578412359,2.01020822071,0.606811881216,1.48897629832
4,0.55767225106,1.84364353948,0.643089108916,1.34120573683
5,0.590874886148,1.70569908773,0.673980198048,1.22484878079
6,0.612578715997,1.59955425488,0.671564356421,1.23095712346
7,0.631430947769,1.51479408905,0.702217821848,1.11248377211
8,0.650586821931,1.43952414743,0.709544554517,1.07144603821
9,0.663669848319,1.39002323716,0.718138613932,1.05128840693
10,0.67804665532,1.33164745866,0.724990099038,1.03355675931
11,0.689307827381,1.28499025231,0.727485148538,1.0062192811
12,0.700318164425,1.2325004107,0.746138613847,0.940160892468
13,0.708648527341,1.19703935833,0.745306930754,0.946090231201
14,0.715381467261,1.16833660792,0.73956435653,0.969080833284
15,0.772426630763,0.939799400081,0.805465346591,0.717762553229
16,0.791622110454,0.859093314148,0.806930693083,0.702451882693
17,0.802315603264,0.823803468757,0.805267326709,0.709321446296
18,0.809272974511,0.794731806532,0.805900990075,0.704848958204
19,0.814329280372,0.771314167319,0.806138613913,0.709651223775
20,0.819477999133,0.745794462818,0.810415841551,0.69545419691
21,0.823200918851,0.728173380852,0.811920792056,0.697681092328
22,0.828389243144,0.71135506859,0.815009901051,0.691900880228
23,0.831095620952,0.698348293085,0.811643564418,0.700242891774
24,0.838092597731,0.671900580994,0.811207920759,0.703053065933
25,0.840719764485,0.660710308031,0.808277227737,0.711481673052
26,0.84394101417,0.647855312398,0.81259405951,0.703748538711
27,0.847835557847,0.629184257813,0.808554455455,0.712198133034
28,0.857974573254,0.598305544243,0.816514851504,0.689084661871
29,0.861182621098,0.581713455261,0.814891089085,0.687395293897
30,0.864219044983,0.572891151728,0.814297029689,0.691210371787
31,0.866318138013,0.563758749412,0.815881188171,0.689474230285
