epoch,acc,loss,val_acc,val_loss
0,0.868258808934,0.558837618617,0.819643564366,0.68786094679
1,0.86886609371,0.55383839365,0.818534653484,0.679888911328
2,0.868918901082,0.553263132768,0.817386138637,0.692498566127
3,0.870991590429,0.545540778789,0.818930693121,0.681928711358
4,0.872245765514,0.54180638925,0.819326732687,0.679912035418
5,0.875057758066,0.53419714867,0.818851485158,0.681812127869
6,0.874490078817,0.534527204391,0.818930693074,0.692115471887
7,0.875282189395,0.529166437836,0.814257425728,0.694088533704
8,0.87529539124,0.530348436537,0.818178217789,0.687620449814
9,0.878094181952,0.521644514048,0.819247524719,0.683731072669
10,0.879176733076,0.519058559453,0.815445544649,0.694475778518
11,0.880272486043,0.51637018274,0.816950495026,0.681593812272
12,0.87896550359,0.511576986007,0.817742574276,0.692824647209
13,0.881328633484,0.508373276577,0.817663366431,0.697255061022
14,0.882331973544,0.504758158345,0.816079207888,0.69006758286
15,0.883744570748,0.501826988752,0.815485148524,0.700129295439
16,0.884721507127,0.498871030297,0.819207920759,0.689453558079
17,0.886794196472,0.492016715438,0.815960396058,0.696863797046
18,0.884576286853,0.494204906543,0.813267326742,0.703602741182
19,0.885962480366,0.489549037858,0.819287128722,0.693572427249
20,0.88722985729,0.488274517406,0.817227722782,0.691308626869
21,0.888127582615,0.48205412988,0.816316831745,0.700266448403
22,0.88841802316,0.48065238722,0.818059405945,0.696473257957
